Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
TOTAL BAGS CERTIFIED,,,,,,,,,
,,,,,,,,,
,ANT,BAR,HA/BR,HOU,MIAMI,NOLA,NY,VA,Total
Brazil,481214,0,285,1548,0,0,1581,230,484858
Burundi,1710,0,284,0,0,0,0,0,1994
Colombia,0,0,0,7642,0,1048,0,0,8690
Costa Rica,1750,0,0,0,0,0,0,0,1750
El Salvador,250,0,0,0,0,0,0,0,250
Guatemala,1941,0,0,0,0,0,0,0,1941
Honduras,21585,0,9309,17924,4275,0,0,0,53093
India,1450,0,284,0,1920,0,0,0,3654
Kenya,2430,0,2227,0,1280,0,0,0,5937
Mexico,28173,0,500,0,0,1400,0,0,30073
Nicaragua,40160,0,500,2200,0,0,0,0,42860
Papua New Guinea,3475,0,10365,0,0,0,1280,0,15120
Peru,63050,0,1518,0,0,0,1100,0,65668
Rwanda,5370,0,0,0,0,0,0,0,5370
Tanzania,35032,0,2760,0,0,0,0,0,37792
Uganda,8190,0,320,0,0,0,0,0,8510
Venezuela,0,0,750,0,2500,0,9996,0,13246
Total in Bags,695780,0,29102,29314,9975,2448,13957,230,780806
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
TRANSITION BAGS CERTIFIED,,,,,,,,,
,,,,,,,,,
,ANT,BAR,HA/BR,Total,,,,,
Brazil,479957,0,285,480242,,,,,
Costa Rica,1750,0,0,1750,,,,,
Guatemala,1941,0,0,1941,,,,,
Honduras,7497,0,7300,14797,,,,,
India,1445,0,284,1729,,,,,
Kenya,1860,0,1942,3802,,,,,
Mexico,27319,0,0,27319,,,,,
Nicaragua,40160,0,0,40160,,,,,
Papua New Guinea,3475,0,10365,13840,,,,,
Peru,58880,0,1518,60398,,,,,
Rwanda,960,0,0,960,,,,,
Tanzania,35032,0,580,35612,,,,,
Uganda,7840,0,320,8160,,,,,
Venezuela,0,0,750,750,,,,,
Total in Bags,668116,0,23344,691460,,,,,
,,,,,,,,,
,,,,,,,,,
Transition Bags Certified data includes all certified stocks in the named delivery point which have a bill of lading date on or after 6/29/23 and were submitted for Exchange grading prior to 12/31/25.,,,,,,,,,
These stocks are subject to a Transition Stocks Discount beginning in 2026.  These bags are included in the TOTAL BAGS CERTIFIED data above. ,,,,,,,,,
Click on this link to view the Exchange Notice.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
TODAY'S GRADING SUMMARY,,,,,,,,,
BAGS PASSED GRADING,,,,,,,,,
,,,,,,,,,
,ANT,BAR,HA/BR,HOU,MIAMI,NOLA,NY,VA,Total
Honduras,0,0,0,1070,0,0,0,0,1070
Nicaragua,0,0,0,2200,0,0,0,0,2200
Venezuela,0,0,0,0,0,0,3750,0,3750
Total in Bags,0,0,0,3270,0,0,3750,0,7020
,,,,,,,,,
,,,,,,,,,
BAGS FAILED GRADING,,,,,,,,,
,,,,,,,,,
,ANT,BAR,HA/BR,HOU,MIAMI,NOLA,NY,VA,Total
Venezuela,0,0,0,0,0,0,1250,0,1250
Total in Bags,0,0,0,0,0,0,1250,0,1250
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Pending Grading Report,,,,,,,,,
,,,,,,,,,
,ANT,BAR,HA/BR,HOU,MIAMI,NOLA,NY,VA,Total
Brazil,5785,0,0,0,0,0,0,0,5785
Colombia,0,0,0,0,0,274,0,0,274
Honduras,0,0,21000,3286,0,0,0,0,24286
India,3300,0,0,0,0,0,0,0,3300
Mexico,6292,0,0,0,0,0,0,0,6292
Nicaragua,0,0,0,550,0,0,0,0,550
Uganda,1320,0,0,0,0,0,0,0,1320
Venezuela,0,0,0,0,0,0,5500,0,5500
Total in Bags,16697,0,21000,3836,0,274,5500,0,47307
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Flagged for Rebagging,,,,,,,,,
